Wall time,Step,Value
1618483187.707255,0,1.3431566953659058
1618483271.6049693,1,1.1453677415847778
1618483333.8789768,2,0.9349029660224915
1618483406.4076355,3,0.9130069017410278
1618483471.2488103,4,0.872846782207489
1618483543.2540426,5,0.8737552762031555
1618483606.3408391,6,0.8906431198120117
1618483679.5486922,7,0.8614712953567505
1618483748.9779272,8,0.7780606150627136
1618483821.1877105,9,0.7397736310958862
1618483884.330926,10,0.7976537942886353
1618483954.7582648,11,0.6743362545967102
1618484017.8019295,12,0.6973151564598083
1618484087.7957602,13,0.6744685769081116
1618484153.1120372,14,0.6581871509552002
1618484221.0449598,15,0.6063665747642517
1618484284.8165314,16,0.6415725946426392
1618484354.4712093,17,0.5511343479156494
1618484418.507511,18,0.5845890045166016
1618484487.9370365,19,0.5432660579681396
1618484553.647645,20,0.6077101230621338
1618484623.277545,21,0.5790595412254333
1618484688.1056895,22,0.5391424894332886
1618484756.1917324,23,0.5707959532737732
1618484819.7130904,24,0.5146178603172302
1618484887.900271,25,0.545372486114502
1618484953.9851193,26,0.5048564672470093
1618485022.2601726,27,0.524936854839325
1618485087.9187825,28,0.5279329419136047
1618485156.352129,29,0.44592761993408203
